query_id,job_id,rank,score
67,14364,6,21.682547
67,7319,7,21.225462
67,7208,8,21.034119
67,19912,9,20.989943
67,41,10,20.785978
68,16974,1,12.847944
68,15235,2,12.535078
68,20510,3,12.535078
68,21681,4,11.466391
68,10419,5,11.339669
68,10429,6,11.339669
68,10491,7,11.339669
68,10305,8,11.339669
68,10758,9,11.339669
68,10771,10,11.339669
69,3755,1,17.699999
69,21915,2,17.588318
69,15825,3,17.308718
69,10814,4,17.269361
69,3964,5,16.936123
69,11680,6,16.711643
69,13791,7,16.627058
69,13846,8,16.627058
69,13527,9,16.627058
69,7950,10,15.9139805
70,32488,1,20.881895
70,34388,2,20.881895
70,49574,3,19.054306
70,50854,4,18.247639
70,33492,5,16.203556
70,11869,6,14.571293
70,49093,7,14.571293
70,55778,8,14.437138
70,49087,9,14.268784
70,55676,10,14.023099
71,36906,1,19.037308
71,36227,2,18.848055
71,40178,3,16.66875
71,32357,4,16.560457
71,52109,5,14.974581
71,43236,6,13.572345
71,10746,7,13.297142
71,34909,8,13.297142
71,42024,9,13.297142
71,53621,10,13.281387
72,53279,1,19.670218
72,52372,2,19.667576
72,56811,3,18.971823
72,57705,4,18.971823
72,56336,5,18.971823
72,55860,6,18.971823
72,54766,7,18.858416
72,55411,8,18.858416
72,53607,9,18.742031
72,56700,10,18.237938
73,6307,1,27.539335
73,5445,2,17.046383
73,13136,3,16.915272
73,13229,4,16.915272
73,5832,5,16.759054
73,6875,6,15.99543
73,1052,7,15.953343
73,7040,8,15.826313
73,10312,9,15.808321
73,9872,10,15.799611
74,19575,1,15.705708
74,28690,2,15.432203
74,53336,3,15.315439
74,54813,4,14.951504
74,56076,5,14.465939
74,28685,6,13.9565525
74,57354,7,13.77264
74,28691,8,13.746264
74,57600,9,13.263188
74,11309,10,13.049231
75,20443,1,24.572102
75,21324,2,24.239872
75,14850,3,23.518644
75,7049,4,23.401077
75,13826,5,23.370625
75,5556,6,23.370625
75,4903,7,23.171936
75,57612,8,23.108377
75,16576,9,23.071169
75,14372,10,22.865505
76,52142,1,24.410107
76,53321,2,17.745193
76,33677,3,17.480536
76,55428,4,17.317057
76,40905,5,16.86768
76,57205,6,16.835472
76,54760,7,16.835472
76,54329,8,16.835472
76,55612,9,16.548422
76,30773,10,16.543613
77,6620,1,18.443937
77,50854,2,16.93134
77,65412,3,16.421917
77,61137,4,16.129288
77,8083,5,15.468245
77,18275,6,15.468245
77,1132,7,15.468245
77,8387,8,15.034706
77,59320,9,14.700245
77,60251,10,14.556241
78,43595,1,36.372814
78,40882,2,36.372814
78,43297,3,36.372814
78,46588,4,36.372814
78,45713,5,36.372814
78,52087,6,32.083954
78,28676,7,27.810133
78,26740,8,27.616966
78,55868,9,26.96795
78,22296,10,26.493174
79,9939,1,19.830132
79,16400,2,19.341322
79,52142,3,18.608051
79,40640,4,18.296127
79,18146,5,17.176138
79,47139,6,17.007336
79,58183,7,17.007336
79,58185,8,17.007336
79,52109,9,14.974581
